ID	sample_number	depth	depth_to	Al2O3 (%)	CaO (%)	Fe2O3 (%)	K2O (%)	MgO (%)	P2O5 (%)	SiO2 (%)	TiO2 (%)	Ancyrochitina ancyrea s.l.	Ancyrochitina rumbaensis	Ancyrochitina vikiensis	Angochitina longicollis	Belonechitina oeselensis	Bursachitina nana	Bursachitina nestorae	Calpichitina densa	Conochitina acuminata	Conochitina aff. tuba	Conochitina claviformis	Conochitina edjelensis	Conochitina electa	Conochitina elongata	Conochitina emmastensis	Conochitina flamma	Conochitina leptosoma	Conochitina mamilla	Conochitina probocifera	Conochitina visbyensis	Eisenackitina causiata	Eisenackitina dolioliformis	Eisenackitina inanulifera	Kalloprion kilmisteri	Kettnerites cf. sisyphi	Kettnerites sp.	Kozlowskiprion	Lanceolatites gracilis	Margachitina margaritana	"Mochtyella ""monodentata"""	Mochtyella cf. trapezoidea	Mochtyella ex gr. fragilis	Mochtyella sp. 3	Mochtyella sp. 5	"Oenonites ""stillapennatus"""	"Oenonites cf. ""stillapennatus"""	Oenonites cf. jennyensis	Oenonites cf. varsoviensis	Oenonites cf. wyszogrodensis	Oenonites eichwaldi	Oenonites jennyensis	Oenonites latus	Oenonites olavi	Oenonites spp.	Pistoprion	Plectochitina pachyderma	Protarabellites staufferi	Ramochitina angusta	Ramochitina ruhnuensis	Rhytiprion magnus	Skalenoprion bugensis	"Tetraprion ""siluricus"""	Tetraprion cf. pozaryskae	Valgaprion	Vistulella	"Xanioprion ""siluricus"""	Xanioprion borealis?
59819	OM4-318	119.95	120.06	10.11	17.37	4.03	3.4	5.53	0.09	35.74	0.53	319	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	15	0	29	0	0	0	0	0	0	0	2	0	0	14	4	2	7	6	0	0	0	1	0	0	0	3	0	82	1	0	0	0	0	0	3	0	0	5	0	0	1
59818	OM4-317	123.7	123.8	8.31	24.43	3.07	2.87	4.21	0.11	31.38	0.43	123	0	0	4	0	2	0	11	15	0	0	0	0	0	0	0	0	0	32	11	3	0	0	0	0	15	0	0	0	14	4	8	9	0	0	0	1	2	1	0	0	0	0	35	0	0	0	0	0	0	3	0	0	7	0	0	1
59817	OM4-316	127.9	128	12.13	11.4	4.43	3.81	5.19	0.05	44.69	0.64	63	0	0	12	0	0	0	25	14	0	0	0	0	0	0	0	0	0	7	47	0	0	0	0	2	9	0	0	0	11	0	3	11	0	0	2	0	2	0	0	0	2	0	52	0	0	0	0	0	0	1	0	0	1	0	0	2
59816	OM4-315	133.39	133.49	10.48	17.23	3.82	3.41	3.77	0.06	39.03	0.55	73	0	0	46	0	0	0	0	0	0	0	0	0	0	0	10	0	0	3	9	2	0	0	0	0	2	0	0	0	3	4	0	12	0	0	14	0	0	0	0	0	0	0	66	0	4	0	0	0	0	2	1	0	2	0	0	1
59815	OM4-314	138.53	138.7	13.18	8.54	4.95	4.19	4.52	0.06	49.21	0.69	320	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	1	0	0	26	0	0	0	2	6	4	16	0	0	2	0	4	0	0	0	5	0	76	0	0	0	5	14	0	10	0	0	1	0	0	1
59814	OM4-313	143.66	143.75	13.43	8.7	4.9	4.26	4.52	0.07	49.03	0.72	333	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	1	0	0	0	1	24	0	0	0	0	2	1	0	0	0	0	0	4	0	0	0	0	0	14	0	5	0	0	0	0	1	0	0	0	0	0	0
59813	OM4-312	149.14	149.27	11.94	11.24	4.62	3.99	4.67	0.06	46.09	0.63	313	0	4	8	0	0	0	45	0	0	0	0	0	0	0	0	0	0	2	0	8	12	25	0	2	37	0	0	0	0	0	0	26	0	0	0	0	13	0	0	0	1	0	102	0	3	0	0	0	2	7	2	0	1	0	0	1
59812	OM4-311	153.71	153.84	12.93	8.83	5.68	4.23	4.48	0.05	48.21	0.7	63	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	1	0	1	0	0	0
59811	OM4-310	158.74	158.89	14.89	4.13	5.41	4.79	3.78	0.05	55.95	0.83	92	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	1	0	14	2	8	0	3	9	0	0	0	7	0	6	25	0	0	0	0	27	0	0	0	0	0	12	0	0	0	0	0	2	0	0	0	22	0	0	1
59810	OM4-309	163.95	164.08	12.57	11.97	4.95	4.14	3.68	0.06	46.06	0.69	40	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	9	0	0	0	2	6	0	0	0	0	0	4	8	0	0	0	0	5	0	0	0	0	0	17	0	0	1	0	0	2	2	0	0	1	0	0	0
59809	OM4-308	169.22	169.37	16.31	1.49	6.04	5.58	3.61	0.06	58.21	0.86	35	0	0	0	3	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	1	8	0	1	2	2	6	20	1	0	0	0	0	11	0	0	0	0	0	12	1	0	0	0	0	3	0	12	0	5	0	0	0
59808	OM4-307	174.29	174.4	16.06	1.43	5.42	6.97	3.63	0.05	58.12	0.87	26	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	17	66	0	0	3	11	0	0	0	4	1	14	1	0	0	0	0	6	0	0	0	0	0	17	1	0	0	0	0	0	0	2	0	6	0	0	0
59807	OM4-306	179.3	179.4	7.01	29.97	2.61	3.01	2.29	0.09	25.97	0.38	21	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	0	0	5	0	0	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	2	0	0	0	0	0	0	2
59806	OM4-305	184.08	184.18	6.14	31.22	2.54	2.59	2.59	0.04	23.44	0.34	29	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	10	1	0	0	0	0	1	0	0	0	1	0	0	3
59805	OM4-304	188.97	189.11	3.14	42.27	1.45	1.45	1.27	0.02	11.63	0.17	124	25	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	3	0	0	0	3	0	1	0	5	0	6	0	0	0	0	0	0	0	0	0	0	0	122	62	0	0	0	0	4	0	2	0	5	5	0	5
59804	OM4-303	193.76	193.85	1.15	49.06	0.69	0.55	2.23	0.02	4.88	0.06	56	0	0	0	0	0	0	0	0	0	0	4	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59803	OM4-302	198.93	199.03	2.9	43.43	1.29	1.5	1.43	0.02	12.69	0.18	17	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59802	OM4-301	203.78	203.92	1.48	46.75	0.72	0.82	2.45	0.01	7.46	0.09	15	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
